03/07/18|000055001|Mont-Saint-Michel|OZONE-1HR|PPB|46|1|Meteorological Service of Canada
03/07/18|000060104|Ottawa|OZONE-1HR|PPB|41|1|Ontario Ministry of the Environment
03/07/18|000060104|Ottawa|OZONE-8HR|PPB|39|8|Ontario Ministry of the Environment
03/07/18|000060104|Ottawa|PM2.5-24hr|UG/M3|3.7|24|Ontario Ministry of the Environment
03/07/18|000060204|Windsor Downtown|OZONE-1HR|PPB|27|1|Ontario Ministry of the Environment
03/07/18|000060424|Toronto Downtown|OZONE-1HR|PPB|31|1|Ontario Ministry of the Environment
03/07/18|000060424|Toronto Downtown|OZONE-8HR|PPB|21|8|Ontario Ministry of the Environment
03/07/18|000060512|Hamilton Downtown|OZONE-8HR|PPB|23|8|Ontario Ministry of the Environment
03/07/18|000060512|Hamilton Downtown|PM2.5-24hr|UG/M3|18.1|24|Ontario Ministry of the Environment
03/07/18|000060512|Hamilton Downtown|OZONE-1HR|PPB|33|1|Ontario Ministry of the Environment
03/07/18|000061104|Peterborough|OZONE-1HR|PPB|38|1|Ontario Ministry of the Environment
03/07/18|000061104|Peterborough|PM2.5-24hr|UG/M3|8|24|Ontario Ministry of the Environment
03/07/18|000061104|Peterborough|OZONE-8HR|PPB|36|8|Ontario Ministry of the Environment
03/07/18|000061201|Cornwall|OZONE-8HR|PPB|37|8|Ontario Ministry of the Environment
03/07/18|000061201|Cornwall|PM2.5-24hr|UG/M3|4.1|24|Ontario Ministry of the Environment
03/07/18|000061201|Cornwall|OZONE-1HR|PPB|39|1|Ontario Ministry of the Environment
03/07/18|000061302|St. Catharines|OZONE-1HR|PPB|37|1|Ontario Ministry of the Environment
03/07/18|000061302|St. Catharines|PM2.5-24hr|UG/M3|14.6|24|Ontario Ministry of the Environment
03/07/18|000061302|St. Catharines|OZONE-8HR|PPB|30|8|Ontario Ministry of the Environment
03/07/18|000061502|Kitchener|OZONE-8HR|PPB|28|8|Ontario Ministry of the Environment
03/07/18|000061502|Kitchener|PM2.5-24hr|UG/M3|14.2|24|Ontario Ministry of the Environment
03/07/18|000061502|Kitchener|OZONE-1HR|PPB|32|1|Ontario Ministry of the Environment
03/07/18|000062001|North Bay|OZONE-1HR|PPB|36|1|Ontario Ministry of the Environment
03/07/18|000062001|North Bay|PM2.5-24hr|UG/M3|2.6|24|Ontario Ministry of the Environment
03/07/18|000062001|North Bay|OZONE-8HR|PPB|31|8|Ontario Ministry of the Environment
03/07/18|000062501|Tiverton|OZONE-8HR|PPB|29|8|Ontario Ministry of the Environment
03/07/18|000062501|Tiverton|PM2.5-24hr|UG/M3|11.4|24|Ontario Ministry of the Environment
03/07/18|000062501|Tiverton|OZONE-1HR|PPB|33|1|Ontario Ministry of the Environment
03/07/18|000063301|Dorset|OZONE-1HR|PPB|39|1|Ontario Ministry of the Environment
03/07/18|000063301|Dorset|PM2.5-24hr|UG/M3|6.4|24|Ontario Ministry of the Environment
03/07/18|000063301|Dorset|OZONE-8HR|PPB|36|8|Ontario Ministry of the Environment
03/07/18|000063701|Grand Bend|OZONE-8HR|PPB|30|8|Ontario Ministry of the Environment
03/07/18|000063701|Grand Bend|PM2.5-24hr|UG/M3|10.5|24|Ontario Ministry of the Environment
03/07/18|000063701|Grand Bend|OZONE-1HR|PPB|35|1|Ontario Ministry of the Environment
03/07/18|000064001|Experimental Lakes|OZONE-1HR|PPB|45|1|Canadian Air and Precipitation Monitoring Network
03/07/18|000064001|Experimental Lakes|OZONE-8HR|PPB|44|8|Canadian Air and Precipitation Monitoring Network
03/07/18|000064101|ALGOMA|OZONE-8HR|PPB|36|8|Canadian Air and Precipitation Monitoring Network
03/07/18|000064101|ALGOMA|OZONE-1HR|PPB|38|1|Canadian Air and Precipitation Monitoring Network
03/07/18|000064401|EGBERT|OZONE-1HR|PPB|33|1|Canadian Air and Precipitation Monitoring Network
03/07/18|000064401|EGBERT|OZONE-8HR|PPB|31|8|Canadian Air and Precipitation Monitoring Network
03/07/18|010030010|FAIRHOPE|OZONE-8HR|PPB|41|8|Alabama Department of Environmental Management
03/07/18|010030010|FAIRHOPE|OZONE-1HR|PPB|42|1|Alabama Department of Environmental Management
03/07/18|010730023|NO. BHAM|OZONE-1HR|PPB|45|1|Jefferson County Department of Health
03/07/18|010730023|NO. BHAM|OZONE-8HR|PPB|38|8|Jefferson County Department of Health
03/07/18|010731003|FAIRFIELD|OZONE-8HR|PPB|35|8|Jefferson County Department of Health
03/07/18|010731003|FAIRFIELD|OZONE-1HR|PPB|38|1|Jefferson County Department of Health
03/07/18|010731005|MCADORY|OZONE-1HR|PPB|41|1|Jefferson County Department of Health
03/07/18|010731005|MCADORY|OZONE-8HR|PPB|35|8|Jefferson County Department of Health
03/07/18|010732006|HOOVER|PM2.5-24hr|UG/M3|5.1|24|Jefferson County Department of Health
03/07/18|010736002|TARRANT|OZONE-8HR|PPB|35|8|Jefferson County Department of Health
03/07/18|010736002|TARRANT|OZONE-1HR|PPB|40|1|Jefferson County Department of Health
03/07/18|010735003|CORNER|OZONE-1HR|PPB|44|1|Jefferson County Department of Health
03/07/18|010735003|CORNER|OZONE-8HR|PPB|39|8|Jefferson County Department of Health
03/07/18|010735003|CORNER|PM2.5-24hr|UG/M3|5.2|24|Jefferson County Department of Health
03/07/18|010890014|Huntsville Old Airpo|PM2.5-24hr|UG/M3|7.1|24|Huntsville Natural Resources and Environmental Management
03/07/18|010890014|Huntsville Old Airpo|OZONE-8HR|PPB|34|8|Huntsville Natural Resources and Environmental Management
03/07/18|010890014|Huntsville Old Airpo|OZONE-1HR|PPB|43|1|Huntsville Natural Resources and Environmental Management
03/07/18|010972005|BAYROAD|OZONE-1HR|PPB|43|1|Alabama Department of Environmental Management
03/07/18|010972005|BAYROAD|OZONE-8HR|PPB|41|8|Alabama Department of Environmental Management
03/07/18|011011002|MONTG|OZONE-8HR|PPB|42|8|Alabama Department of Environmental Management
03/07/18|011011002|MONTG|PM2.5-24hr|UG/M3|10.3|24|Alabama Department of Environmental Management
03/07/18|011011002|MONTG|OZONE-1HR|PPB|44|1|Alabama Department of Environmental Management
03/07/18|011030011|DECATUR|OZONE-1HR|PPB|40|1|Alabama Department of Environmental Management
03/07/18|011030011|DECATUR|OZONE-8HR|PPB|35|8|Alabama Department of Environmental Management
03/07/18|011170004|HELENA|OZONE-8HR|PPB|38|8|Alabama Department of Environmental Management
03/07/18|011170004|HELENA|OZONE-1HR|PPB|40|1|Alabama Department of Environmental Management
03/07/18|020680003|Denali NPP|OZONE-1HR|PPB|44|1|National Park Service
03/07/18|020680003|Denali NPP|OZONE-8HR|PPB|42|8|National Park Service
03/07/18|040038001|Chiricahua NM|OZONE-8HR|PPB|47|8|National Park Service
03/07/18|040038001|Chiricahua NM|OZONE-1HR|PPB|49|1|National Park Service
03/07/18|040058001|Grand Canyon NP|OZONE-1HR|PPB|51|1|National Park Service
03/07/18|040058001|Grand Canyon NP|OZONE-8HR|PPB|46|8|National Park Service
03/07/18|040134004|West Chandler Fire S|OZONE-8HR|PPB|44|8|Maricopa County Air Quality Department
03/07/18|040134004|West Chandler Fire S|OZONE-1HR|PPB|48|1|Maricopa County Air Quality Department
